
k=1, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=2, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=3, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=4, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=5, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=6, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=7, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=8, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=9, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=10, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=11, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=12, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=13, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=14, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=15, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=16, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=17, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=18, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=19, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=20, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=21, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=22, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=23, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=24, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=25, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=26, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=27, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=28, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=29, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=30, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=31, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=32, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=33, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=34, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=35, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=36, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=37, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=38, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=39, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=40, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=41, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=42, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=43, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=44, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=45, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=46, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=47, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=48, Seed=28, diff=0.00000000000000000000, diff is 0: 1
k=49, Seed=28, diff=0.00000000000000000000, diff is 0: 1
